glottocode,language,iso,level,area,latitude,longitude,countries,affiliation,subclassification,family,endangerment,my_annotation
akhv1239,Northern Akhvakh,akv,language,Eurasia,42.4003,46.3037,RU,"Nakh-Daghestanian, Daghestanian, Avar-Andic-Tsezic, Andic, Akhvakhic","(Axaxdərə_Akhvakh:1,Tsunta_Akhvakh:1)akhv1239:1;",Nakh-Daghestanian,shifting,
sout3319,Southern Akhvakh,,language,Eurasia,42.42242,46.45051,RU,"Nakh-Daghestanian, Daghestanian, Avar-Andic-Tsezic, Andic, Akhvakhic","(Cegob:1,Ratlub:1,Tljanub:1)sout3319:1;",Nakh-Daghestanian,shifting,
tind1238,Tindi,tin,language,Eurasia,42.3316,45.9227,RU,"Nakh-Daghestanian, Daghestanian, Avar-Andic-Tsezic, Andic, Bagvalal-Tindi","(Angidin:1,Tindin-Èchedin:1)tind1238:1;",Nakh-Daghestanian,shifting,
bagv1239,Bagvalal,kva,language,Eurasia,42.3966,46.1041,RU,"Nakh-Daghestanian, Daghestanian, Avar-Andic-Tsezic, Andic, Bagvalal-Tindi","(Kvanada-Gimerso:1,Tlisi-Tlibisho:1,Tlondada-Xushtada:1)bagv1239:1;",Nakh-Daghestanian,shifting,
botl1242,Botlikh,bph,language,Eurasia,42.665,46.22,RU,"Nakh-Daghestanian, Daghestanian, Avar-Andic-Tsezic, Andic, Botlikh-Godoberi","(Miarso:1,Nuclear_Botlikh:1)botl1242:1;",Nakh-Daghestanian,shifting,
ghod1238,Godoberi,gdo,language,Eurasia,42.7428,46.2252,RU,"Nakh-Daghestanian, Daghestanian, Avar-Andic-Tsezic, Andic, Botlikh-Godoberi","(Zibirkhalin:1,Ziloj:1)ghod1238:1;",Nakh-Daghestanian,shifting,
bezh1248,Bezhta,kap,language,Eurasia,42.1206,46.0332,GE;RU,"Nakh-Daghestanian, Daghestanian, Avar-Andic-Tsezic, Tsezic, East Tsezic","(Khocharkhotin:1,Nuclear_Bezhta:1,Tlyadaly:1)bezh1248:1;",Nakh-Daghestanian,shifting,
hunz1247,Hunzib,huz,language,Eurasia,42.0808,46.1369,GE;RU,"Nakh-Daghestanian, Daghestanian, Avar-Andic-Tsezic, Tsezic, East Tsezic",(Hunzib:1);,Nakh-Daghestanian,shifting,
hinu1240,Hinuq,gin,language,Eurasia,42.4502,45.8064,RU,"Nakh-Daghestanian, Daghestanian, Avar-Andic-Tsezic, Tsezic, West Tsezic",(Hinuq:1);,Nakh-Daghestanian,shifting,
dido1241,Tsez,ddo,language,Eurasia,42.2646,45.8096,GE;RU,"Nakh-Daghestanian, Daghestanian, Avar-Andic-Tsezic, Tsezic, West Tsezic","((Asakh:1,Elbok:1,(Kidero:1,Mokok:1)kide1234:1,Shapikh:1,Shaytl:1)nucl1785:1,Sagadin:1)dido1241:1;",Nakh-Daghestanian,shifting,
khva1239,Khwarshi-Inkhoqwari,khv,language,Eurasia,42.2743,45.9977,RU,"Nakh-Daghestanian, Daghestanian, Avar-Andic-Tsezic, Tsezic, West Tsezic","(Inxokvari:1,Xvarshi:1)khva1239:1;",Nakh-Daghestanian,shifting,
udii1243,Udi,udi,language,Eurasia,40.9,47.7236,AZ;GE;RU,"Nakh-Daghestanian, Daghestanian, Lezgic, Samur, Eastern Samur, Udi-Aghwan","(Nidzh:1,Oghuz_-Udi:1,Oktomberi:1)udii1243:1;",Nakh-Daghestanian,shifting,remove
kosh1245,Qushan Aghul,,language,Eurasia,41.85,47.65,RU,"Nakh-Daghestanian, Daghestanian, Lezgic, Samur, Eastern Samur, Tabasaran-Aghul-Lezgi, Aghul-Lezgi, Aghulic",(Qushan_Aghul:1);,Nakh-Daghestanian,shifting,
aghu1253,Aghul,agx,language,Eurasia,41.9242,47.5843,AZ;RU,"Nakh-Daghestanian, Daghestanian, Lezgic, Samur, Eastern Samur, Tabasaran-Aghul-Lezgi, Aghul-Lezgi, Aghulic","(Central_Agul:1,Cirxe:1,Fite:1,Gequn:1,Huppuq:1,Keren:1)aghu1253:1;",Nakh-Daghestanian,shifting,
lakk1252,Lak,lbe,language,Eurasia,42.1328,47.0809,AZ;GE;KZ;RU;UA,"Nakh-Daghestanian, Daghestanian","(Ashtikulin:1,Kumux:1,Vicxin:1,Vixlin:1)lakk1252:1;",Nakh-Daghestanian,threatened,
